Page,Trend,Seasonality,Serial Correlation (RAW),Serial Correlation (TSA),Skewness (RAW),Skewness (TSA),Kurtosis (RAW),Kurtosis (TSA),Self-Similarity,Chaos,Non-Linearity (TSA),Non-Linearity (RAW)
DQ75M,0.06688174260897639,0.7032098513673688,107.0295170783765,6.074748668616532,0.8306277522162079,0.2021743797030624,1.983531447831372,2.167730353774963,0.5422251627375487,0.004092165090398744,6.662876750741653,16.634285566415514
O1XC0,0.05075502985218028,0.6606717258921054,159.86104933825018,116.75875149741745,2.4951209804609,0.5178887599421536,8.867214426763079,0.8908673849415134,0.5211368652491122,-8.887534975702416e-05,17.39818106069849,14.554711793730256
PPOCI,0.09062731809267943,0.6661720537718472,108.36288996569229,16.354990421996387,5.8230076763391425,0.07229581989665293,45.48420989138025,2.22429395327902,0.5721840254993859,0.03062337616033713,7.4345340785197225,14.368559638888714
KZ5LV,0.033058865166527014,-1.5543122344752196e-15,31.874018637024808,206.36663449010086,8.610557975163985,1.0933365033159042,91.11588783201077,-0.6439060583668592,0.9407643882781859,-0.0038275595973521134,32.97827371501203,6.231556185849357
S0BHO,0.018235643669339496,-0.13991983392772878,237.64043778521759,194.6973840663149,3.609331821773953,-1.5054417518651164,13.996359185421374,1.5764165898957874,0.8233985183712309,-0.0333730061251418,20.107102823538447,17.428988775746195
XDRQD,0.05677215523980505,-0.07675001848806295,154.87743193845748,201.46895444521184,1.900584728499327,-2.1477097747668226,4.631313153504387,5.881068596917932,0.7356172304635016,-0.0029203112425697326,15.52101090692045,19.694919751414112
NJDQ7,0.052673487592227015,-0.000744989887205838,111.6848165757307,117.52228205985796,4.145919624112842,0.4990937275819112,30.03262460659904,4.9532118578962985,0.8349359216571575,0.002445918747604398,22.153777704597672,13.670183713632582
SCH83,0.08430395752119446,0.4898209254557224,150.4034053144421,104.24025915654906,2.362094850454981,0.7104566381583919,9.256472405843104,4.687785361485178,0.8733148557417743,-0.003932136084647879,13.994148471995144,18.555351593490826
X37D3,0.061136108215519076,0.27616853807073394,18.846043167076076,0.3539976402631877,-0.15767736365236024,-0.9077601658375906,1.6458340279877939,8.447779669329972,0.5356408598434216,0.0028584290422285445,3.862603843568549,8.569663823676189
ILQ7O,0.04163702610056297,0.5731258258263515,193.48086482525704,122.16360262482316,-0.035329691163790464,-0.2083225837938547,0.29349408336921057,5.955589747586048,0.8868319498319812,4.943052327009952e-05,18.658583392859708,32.851990248536445
P74TQ,0.1085816392184169,0.20458631114351344,35.71878219971704,16.603319022490915,-0.4350216864513736,-0.16434949768797466,4.497957702425233,2.424318958375401,0.6934899896320681,0.000366272361578398,2.231791197261121,6.18669066878569
7AV6V,0.10264904478185743,0.3662528379646756,93.26778380368769,29.558318335007073,0.4033268408224774,-0.7284588944258531,-0.3613200968567796,3.448501080451948,0.8567129561192895,0.004331593750755834,4.8686709316666485,16.552126696286162
CAM66,0.0585131296833048,0.8883969628955923,230.90129786563796,101.75543916869269,-0.1927353801219808,-0.2503746567557152,-1.0039600615404043,1.3684638713417687,0.8883468508789085,0.0015687721774935654,12.159485385666384,64.5480259640803
CH63S,0.07056141595581432,0.25924504895834155,134.7814808839937,84.62500270831946,0.7492539202106729,-0.5440967595674367,0.9996279726226271,5.618883856603512,0.8229595213571909,0.005000019236668996,16.809715177399585,22.99004293448165
A3M37,0.04491060070237973,0.030073914172189964,153.11354934523519,139.53321279974395,1.0183775025123525,0.09393593010481152,0.9479043058850948,1.6636543309939862,0.932397971474488,0.00468626806704916,25.87671732120073,21.783725977817788
O6OEB,0.10616391000148664,0.3593247417800881,55.95882225455552,14.415447688941615,3.8220600440721193,2.7047847776523684,45.458512312582855,47.278279442632,0.693169516252708,-0.0007206583417616512,8.012015601264396,15.985184045491279
6FW5C,0.08954551747765638,0.0451069512054374,139.48333685354828,28.32249143774516,4.2337424696138415,0.02477933308837148,24.201505472850002,2.2514730298011556,0.7359640725429996,0.0104933302843096,5.474005337001816,13.630863117837636
1PQSX,0.04257862869549645,0.3586323705246129,242.7360897034316,188.50095146268168,3.347043228224938,1.6519226773368905,10.919814148217814,2.924707591447704,0.5575012130224831,-0.0203199336403294,19.652817448732986,17.591003413720422
